restaurant_name,country_name,city_name,cuisines
Buffalo Grill,France,Ploermel,"American, Steakhouse, Barbecue"
Ristorante Del Arte,France,Ploermel,"Italian, European"
Les Ateliers Gourmands,France,Ploermel,"French, European"
Le Rond de Serviette,France,Ploermel,"French, European"
Le saint Marc,France,Ploermel,French
Creperie La Fromentine,France,Ploermel,French
Delices Kebab,France,Ploermel,"Turkish, Fast food"
Le Hangar par Morgane,France,Ploermel,French
ALLO'OUI PIZZA,France,Ploermel,"Italian, Pizza"
Le Roi Arthur,France,Ploermel,"French, European"
Le P'tit Bidon,France,Ploermel,Fast food
Cote Lac Restaurant,France,Ploermel,French
La Farigoule,France,Ploermel,"French, European"
McDonald's Ploermel,France,Ploermel,Fast food
Cafe Le Chiquito,France,Saint-Georges-sur-Loire,
L'Orangerie Restaurant,France,Saint-Georges-sur-Loire,"Italian, French"
L'Orangerie,France,Saint-Georges-sur-Loire,
Pizzeria la Florentina,France,Saint-Georges-sur-Loire,"French, Pizza, Italian"
Vitakraft,France,Saint-Georges-sur-Loire,
Pasta Pizza,France,Saint-Georges-sur-Loire,"Italian, Pizza, Fast food, European, Street Food"
Gang Of Pizza,France,Saint-Georges-sur-Loire,
Le Grand Bras,France,Saint-Georges-sur-Loire,French
La Tete Noire,France,Saint-Georges-sur-Loire,French
Crèperie Laoza,France,La Cavalerie,French
Le 12,France,La Cavalerie,"Italian, French, Bar, Pub"
Casa Tacos,France,La Cavalerie,Mexican
le bonheur est dans le sud,France,La Cavalerie,"French, European"
L'Auberge Le Cévenol,France,La Cavalerie,French
Le Restaurant De La Poste,France,La Cavalerie,"French, European"
Boul'Pizza,France,La Cavalerie,Italian
Sarl Crv Resto'rapid,France,Saint Seine L'Abbaye,"Pizza, Fast food, Dining bars"
Restaurant at Hotel de la Poste,France,Saint Seine L'Abbaye,"French, European"
Auberge Campagnarde,France,Saint Seine L'Abbaye,French
Le Bistrot des Caprices,France,La Canourgue,"French, European"
Fast Pizzas,France,La Canourgue,"Pizza, Italian, French"
Auberge du Moulin,France,La Canourgue,
La Citadelle,France,La Canourgue,French
Auberge Chez Louis,France,La Canourgue,French
Hotel Le Portalou Restaurant,France,La Canourgue,French
Chez Damaselles salon de thé,France,La Canourgue,French
Restaurant le Commerce,France,La Canourgue,French
Fast Burger 48,France,La Canourgue,"Fast food, Street Food, French, American"
Restaurant Le Bretagne,France,Sille-le-Guillaume,French
Au Refuge de Trappeur,France,Sille-le-Guillaume,"French, Bar, Pub"
Bab's,France,Sille-le-Guillaume,French
Sillé Street Food,France,Sille-le-Guillaume,
Hotel de Paris,France,Sille-le-Guillaume,French
L'Embarcadere,France,Sille-le-Guillaume,French
l'Orchidee,France,Sille-le-Guillaume,"Italian, French"
McDonald's,France,Montredon-des-Corbieres,Fast food
L'Industrie,France,Montredon-des-Corbieres,French
Canta Napoli,France,Montredon-des-Corbieres,"Italian, French, Pizza, Neapolitan, Campania, Southern-Italian"
Le Doubs Passage,France,Paris,French
Le Palais de Sherine,France,Paris,"Moroccan, Mediterranean"
La Societe,France,Paris,French
Restaurant du Lac de Baudreix,France,Paris,French
Le Palais d'Orlac,France,Paris,French
L'Escapade,France,Paris,
L'Escale du Ried,France,Paris,French
Au P'tit Troc,France,Paris,Pizza
Aux Deux Clefs Restaurant,France,Paris,French
Auberge Catalane,France,Paris,French
Fabre Christian,France,Paris,"French, European"
Le Catharome,France,Paris,"French, European"
La Bastide Cabezac,France,Paris,"French, Mediterranean, European"
Le Puits du Tresor,France,Paris,"French, European"
Le Hameau des Saveurs,France,Paris,French
La Maison,France,Paris,
Hotel Restaurant Les Chenes,France,Paris,French
Le Petit Blanc,France,Saint-Julien,French
Le Lignier,France,Paris,French
La Bonne Auberge,France,Paris,"European, French, International"
Chez Caro,France,Paris,French
Chala,France,Paris,Mediterranean
Auberge des Granges,France,Paris,French
La Pizza D'Orelie 1,France,Montaren-et-Saint-Mediers,"Italian, Pizza"
La Table 2 Julien,France,Montaren-et-Saint-Mediers,"French, European"
Brasserie M,France,Montaren-et-Saint-Mediers,French
Auberge de Moussey,France,Moussey,French
La Table de Madame Molé,France,Plescop,"French, Fast food"
L'Atelier d'Edgar,France,Plescop,"Italian, Pizza"
Là DN restaurant bistronomique,France,Plescop,French
Pizzeria Le Bellagio,France,Plescop,"Italian, Pizza"
Cook'n Boc,France,Plescop,"French, Fast food, European, Diner, Dining bars"
Baccio Pizza,France,Plescop,Pizza
La Chaumiere,France,Plescop,French
Domaine de Yaka,France,Plescop,French
Le Relais du Pouget,France,Saint-Chely-d'Aubrac,French
Hôtel Restaurant de La Dômerie,France,Saint-Chely-d'Aubrac,French
Le Buron de la Sistre,France,Saint-Chely-d'Aubrac,French
Le Buron du Couderc,France,Saint-Chely-d'Aubrac,French
Cafe De La Mairie,France,Saint-Chely-d'Aubrac,French
Restaurant les Coudercous de la Vallée,France,Saint-Chely-d'Aubrac,"French, European"
Relais Saint Jacques,France,Saint-Chely-d'Aubrac,French
La domerie,France,Saint-Chely-d'Aubrac,
Restaurant de l'Hotel des Voyageurs,France,Saint-Chely-d'Aubrac,French
Caput Spina,France,Cabrespine,"French, European, International"
Snack L'entracte,France,Quillan,"Fast food, French"
Blue Sky,France,Quillan,
Pizzeria des Platanes,France,Quillan,"Pizza, European, Italian"
La Galerie,France,Quillan,"Italian, French, Mediterranean"
Bar de la Promenade,France,Quillan,"Bar, Pub, French"
Le Doryanis,France,Quillan,"Italian, American"
Cafe du Fleuve,France,Quillan,"French, Cafe, European"
La Pierre Lys Hotel Restaurant,France,Quillan,"French, European"
Hotel Restaurant Canal,France,Quillan,"French, European"
Le Terminus,France,Quillan,"French, European"
Le Brantalou,France,Quillan,"Mediterranean, French, European"
Le Bistrot,France,Quillan,"French, International, European"
Hotel La Chaumiere,France,Quillan,"French, European, Vietnamese"
Cafe Brasserie Le Palace,France,Quillan,"French, Bar, European"
Cafe de la Gare,France,Quillan,"French, European"
Asily,France,Quillan,"Chinese, Asian, Vietnamese"
Auberge le demi-sel,France,Quillan,"French, European"
Restaurant Cartier,France,Quillan,"French, European"
Tante Anna,France,Flesselles,
Le Verger d'Istanbul,France,Flesselles,"Turkish, Middle Eastern"
Samourai Pizza & Burger,France,Le Rouret,"Pizza, Fast food"
Le Clos Saint Pierre,France,Le Rouret,"French, Mediterranean, European"
Mozzarella Pizza,France,Le Rouret,"Italian, French"
Le Leck,France,Le Rouret,"Lebanese, Middle Eastern, Mediterranean"
A l'Endroit,France,Le Rouret,"Italian, Brew Pub, Pizza, Wine Bar"
Chez Chouquette,France,Le Rouret,French
Le Moulin d'Honore,France,Le Rouret,"Italian, French, Cafe, Fusion, Street Food"
Simplement Bon,France,Le Rouret,
Mezcla Loca,France,Le Rouret,
Restaurant Le 67,France,Le Rouret,"French, European"
Hollywood Pizza,France,Le Rouret,"Pizza, Italian"
Bistro du Clos,France,Le Rouret,"French, European"
Vino Rocco,France,Le Rouret,"Italian, French, Pizza"
Shiva,France,Le Rouret,Indian
Hostellerie de L'aristou,France,Barbazan,French
Restaurant Le Louisiane,France,Barbazan,French
