cuisines,count
,226560
French,76698
Italian,60671
Cafe,42243
"Italian, Pizza",33508
Spanish,28033
"French, European",27951
German,26269
Fast food,18489
Pizza,16931
"Bar, British, Pub",13721
Greek,11874
"Cafe, British",11397
"Bar, Pub",11200
"Mediterranean, Spanish",10960
"Italian, Mediterranean",9031
Chinese,8882
"Dutch, European",8795
British,8506
European,8452
Indian,8090
"Chinese, Asian",7554
"Pizza, Italian",6852
"Italian, Pizza, Mediterranean",6588
"Italian, Seafood, Mediterranean",6519
"European, Portuguese",6433
Mediterranean,6334
"German, European, Central European",6216
American,6081
"Japanese, Sushi, Asian",5940
"Austrian, European",5930
International,5824
"Spanish, Mediterranean",5615
Turkish,4758
"Italian, Pizza, Mediterranean, European",4630
Pub,4266
"Mediterranean, European, Spanish",4260
"American, Fast food",4107
"Polish, European",4077
"Italian, Mediterranean, European",4067
"Italian, Pizza, Seafood, Mediterranean",3749
"Asian, Thai",3729
"Italian, Pizza, European",3627
"German, European",3545
"Italian, Cafe",3537
"French, Mediterranean, European",3503
"Belgian, European",3420
"Italian, European",3411
Seafood,3392
"Mediterranean, Greek",3351
"Italian, Seafood",3324
"Portuguese, European",3308
Asian,3215
"Pizza, Fast food",2859
Mexican,2541
"Indian, Asian",2524
"Italian, Pizza, Seafood",2412
"Asian, Vietnamese",2226
"French, Bar, Pub",2223
"European, Czech",2218
Thai,2159
"French, Bar, European",2077
"Bar, Cafe, Pub",2023
Healthy,2022
Japanese,2003
"French, Mediterranean",1968
Steakhouse,1952
"German, Cafe",1946
Deli,1940
"Cafe, European",1914
"Seafood, Mediterranean, Greek",1869
"Italian, French",1826
"European, Central European",1733
Wine Bar,1721
"Japanese, Asian",1660
"Mediterranean, European, Portuguese",1627
"Austrian, European, Central European",1527
"Indian, Asian, Balti",1493
"Italian, Bar, Pub",1468
"Fast food, British",1466
Vietnamese,1444
"German, Central European, European",1415
"Italian, Seafood, Mediterranean, European",1409
"European, Swedish",1407
Bar,1405
"Cafe, Deli",1387
"French, Belgian, European",1368
"Dutch, Seafood, European",1366
"Chinese, Fast food",1345
Grill,1325
"Italian, Barbecue",1311
"British, Cafe",1309
Diner,1297
"French, Healthy",1283
"French, European, Healthy",1270
"Italian, Pizza, Fast food",1265
"Italian, Fast food",1264
"French, Cafe",1254
"French, Seafood",1246
Street Food,1234
"Greek, Mediterranean",1233
"Pub, Gastropub",1182
"Japanese, Sushi",1173
"Cafe, Spanish",1170
Contemporary,1158
"Indian, Asian, Balti, Bangladeshi",1138
"Cafe, German",1132
Sushi,1131
"Fast food, American",1129
African,1099
"Bar, British",1099
