restaurant_name,cuisines,rating_35
Le P'tit Bidon,Fast food,1
Cafe Le Chiquito,,1
Casa Tacos,Mexican,1
Sarl Crv Resto'rapid,"Pizza, Fast food, Dining bars",1
Le Bistrot des Caprices,"French, European",1
Sillé Street Food,,1
Le Hameau des Saveurs,French,1
Là DN restaurant bistronomique,French,1
Pizzeria Le Bellagio,"Italian, Pizza",1
Cook'n Boc,"French, Fast food, European, Diner, Dining bars",1
Bar de la Promenade,"Bar, Pub, French",1
Le Bistrot,"French, International, European",1
Chez Chouquette,French,1
Mezcla Loca,,1
Les Box de Flo,"French, Fast food, Deli, Soups",1
Restaurant - Pizzeria la Gondole,,1
Restaurant les Délices,French,1
Restaurant - Pizzeria EurêKa,"Italian, French, Pizza, European, Contemporary",1
Restaurant Des Voyageurs,French,1
L'effet Boeuf,"Steakhouse, French, European, Grill",1
Patatrak,"Indian, Bar, Thai, Pub, Vietnamese, Diner",1
Le Djungo,"French, European",1
Pizz'Amour,,1
Restaurant- Bar,French,1
Baskulinair,"Asian, American, International, Deli, Indonesian",1
Pizz'Adhoc,"Italian, French",1
Chez Jungas Darrigrand,"French, Asian, Bangladeshi, Mongolian, Caucasian, Arabic",1
Côté Jardin,Barbecue,1
La Plancha,"European, Pub, Gastropub",1
Pizza 34,"Italian, Pizza",1
Chez Graziella,"Italian, French",1
L'Olivier,"French, Wine Bar",1
Moulin De Jarcy,French,1
L'escargot de Pascalin,,1
Land's Pizzas!,Pizza,1
Land's Pizzas,Pizza,1
La Buvette,"French, Wine Bar",1
Aux Pains Gourmands,,1
L'Alcove,"Japanese, Asian, Sushi",1
Krispyjo,Italian,1
Keb'Alpes,"French, Mexican, Turkish",1
Le Taboo,French,1
Au Fil des Landes,"French, Belgian, European",1
Boulangerie Granges Croustillantes,French,1
Le Mic Mac,Italian,1
Mai Thai,"Asian, Thai",1
Lucky Wok,"Chinese, Japanese, Asian",1
Restaurant Anatolie,"Turkish, Middle Eastern",1
Indochine,Asian,1
Le Café des Artistes,"French, Fast food, International",1
Taberna Portuguesa,"European, Portuguese",1
O'Gastos,French,1
Chez Mickey's Et Coco,Pizza,1
Fromagerie Crémerie Rouet,French,1
La Tuffière,French,1
L'Echo des Saisons,"French, Mediterranean, European",1
La Pacheyrasso,French,1
Le Saxhorn,"French, Brew Pub, Cafe, Pub",1
o’Lamparo,"French, Mediterranean, European, Healthy",1
Patisserie Bonneau,"Bar, Cafe, Pub",1
Eurasia,Chinese,1
Au Coin Fleuri,,1
Le Show Room du Chef Nadia Khemir,"French, Mediterranean, Deli, Contemporary, Pub, Gastropub",1
Maboul,"Moroccan, Mediterranean, Middle Eastern, Tunisian, Arabic, Algerian",1
Wine o'clock,"Wine Bar, Dining bars",1
Le Patio,,1
La cantinerie,,1
Ben & Ben,,1
La Fontaine,,1
Restaurant Melodie,,1
Bar le Mondial,,1
Planète Wok,Chinese,1
Starbuck,,1
Pizza chez Pascal,"Italian, Pizza, French, Fast food, European, Diner",1
Restaurant Lahore,,1
Modern Bar,"Portuguese, European",1
Ipamra,,1
Le relais de brienne,,1
L'appli 2. 0,French,1
